"","Province.State","Date","Case"
"1","Alabama",2020-01-31,0
"2","Alabama",2020-02-29,0
"3","Alabama",2020-03-31,987
"4","Alabama",2020-04-30,7088
"5","Alabama",2020-05-31,17952
"6","Alabama",2020-06-30,38045
"7","Alaska",2020-01-31,0
"8","Alaska",2020-02-29,0
"9","Alaska",2020-03-31,119
"10","Alaska",2020-04-30,355
"11","Alaska",2020-05-31,459
"12","Alaska",2020-06-30,937
"13","American Samoa",2020-01-31,0
"14","American Samoa",2020-02-29,0
"15","American Samoa",2020-03-31,0
"16","American Samoa",2020-04-30,0
"17","American Samoa",2020-05-31,0
"18","American Samoa",2020-06-30,0
"19","Arizona",2020-01-31,1
"20","Arizona",2020-02-29,1
"21","Arizona",2020-03-31,1289
"22","Arizona",2020-04-30,7655
"23","Arizona",2020-05-31,19936
"24","Arizona",2020-06-30,79228
"25","Arkansas",2020-01-31,0
"26","Arkansas",2020-02-29,0
"27","Arkansas",2020-03-31,523
"28","Arkansas",2020-04-30,3281
"29","Arkansas",2020-05-31,7253
"30","Arkansas",2020-06-30,20777
"31","California",2020-01-31,3
"32","California",2020-02-29,12
"33","California",2020-03-31,8233
"34","California",2020-04-30,50130
"35","California",2020-05-31,111951
"36","California",2020-06-30,231418
"37","Colorado",2020-01-31,0
"38","Colorado",2020-02-29,0
"39","Colorado",2020-03-31,2966
"40","Colorado",2020-04-30,15284
"41","Colorado",2020-05-31,26364
"42","Colorado",2020-06-30,32698
"43","Connecticut",2020-01-31,0
"44","Connecticut",2020-02-29,0
"45","Connecticut",2020-03-31,3128
"46","Connecticut",2020-04-30,27700
"47","Connecticut",2020-05-31,42201
"48","Connecticut",2020-06-30,46514
"49","Delaware",2020-01-31,0
"50","Delaware",2020-02-29,0
"51","Delaware",2020-03-31,319
"52","Delaware",2020-04-30,4734
"53","Delaware",2020-05-31,9498
"54","Delaware",2020-06-30,11474
"55","Diamond Princess",2020-01-31,0
"56","Diamond Princess",2020-02-29,0
"57","Diamond Princess",2020-03-31,49
"58","Diamond Princess",2020-04-30,49
"59","Diamond Princess",2020-05-31,49
"60","Diamond Princess",2020-06-30,49
"61","District of Columbia",2020-01-31,0
"62","District of Columbia",2020-02-29,0
"63","District of Columbia",2020-03-31,495
"64","District of Columbia",2020-04-30,4323
"65","District of Columbia",2020-05-31,8801
"66","District of Columbia",2020-06-30,10327
"67","Florida",2020-01-31,0
"68","Florida",2020-02-29,0
"69","Florida",2020-03-31,6741
"70","Florida",2020-04-30,33690
"71","Florida",2020-05-31,56163
"72","Florida",2020-06-30,152434
"73","Georgia",2020-01-31,0
"74","Georgia",2020-02-29,0
"75","Georgia",2020-03-31,3929
"76","Georgia",2020-04-30,26264
"77","Georgia",2020-05-31,47063
"78","Georgia",2020-06-30,81291
"79","Grand Princess",2020-01-31,0
"80","Grand Princess",2020-02-29,0
"81","Grand Princess",2020-03-31,103
"82","Grand Princess",2020-04-30,103
"83","Grand Princess",2020-05-31,103
"84","Grand Princess",2020-06-30,103
"85","Guam",2020-01-31,0
"86","Guam",2020-02-29,0
"87","Guam",2020-03-31,69
"88","Guam",2020-04-30,145
"89","Guam",2020-05-31,172
"90","Guam",2020-06-30,257
"91","Hawaii",2020-01-31,0
"92","Hawaii",2020-02-29,0
"93","Hawaii",2020-03-31,204
"94","Hawaii",2020-04-30,618
"95","Hawaii",2020-05-31,652
"96","Hawaii",2020-06-30,917
"97","Idaho",2020-01-31,0
"98","Idaho",2020-02-29,0
"99","Idaho",2020-03-31,515
"100","Idaho",2020-04-30,1984
"101","Idaho",2020-05-31,2839
"102","Idaho",2020-06-30,6117
"103","Illinois",2020-01-31,2
"104","Illinois",2020-02-29,2
"105","Illinois",2020-03-31,5994
"106","Illinois",2020-04-30,52918
"107","Illinois",2020-05-31,120260
"108","Illinois",2020-06-30,143185
"109","Indiana",2020-01-31,0
"110","Indiana",2020-02-29,0
"111","Indiana",2020-03-31,2158
"112","Indiana",2020-04-30,17835
"113","Indiana",2020-05-31,34574
"114","Indiana",2020-06-30,45594
"115","Iowa",2020-01-31,0
"116","Iowa",2020-02-29,0
"117","Iowa",2020-03-31,497
"118","Iowa",2020-04-30,7145
"119","Iowa",2020-05-31,19552
"120","Iowa",2020-06-30,29074
"121","Kansas",2020-01-31,0
"122","Kansas",2020-02-29,0
"123","Kansas",2020-03-31,434
"124","Kansas",2020-04-30,4413
"125","Kansas",2020-05-31,9700
"126","Kansas",2020-06-30,14370
"127","Kentucky",2020-01-31,0
"128","Kentucky",2020-02-29,0
"129","Kentucky",2020-03-31,628
"130","Kentucky",2020-04-30,4708
"131","Kentucky",2020-05-31,9704
"132","Kentucky",2020-06-30,15624
