"","Province.State","Month","Death","Case","Initial","First","Benefits"
"1","Alabama","1",0,0,"12,918","5,250","12,559,666"
"2","Alabama","2",0,0,"7,573","3,579","11,809,374"
"3","Alabama","3",53,987,"150,556","10,150","15,883,922"
"4","Alabama","4",4001,7088,"300,079","177,498","162,659,058"
"5","Alabama","5",14438,17952,"106,301","70,384","200,641,776"
"6","Alabama","6",23697,38045,NA,NA,NA
"7","Alabama","7",26404,74212,NA,NA,NA
"8","Alaska","1",0,0,"5,105","2,239","9,065,613"
"9","Alaska","2",0,0,"3,580","1,682","8,129,812"
"10","Alaska","3",13,119,"30,261","2,039","9,211,360"
"11","Alaska","4",230,355,"49,769","31,379","36,817,560"
"12","Alaska","5",305,459,"35,424","11,031","40,806,922"
"13","Alaska","6",351,937,NA,NA,NA
"14","Alaska","7",388,2193,NA,NA,NA
"15","American Samoa","1",0,0,NA,NA,NA
"16","American Samoa","2",0,0,NA,NA,NA
"17","American Samoa","3",0,0,NA,NA,NA
"18","American Samoa","4",0,0,NA,NA,NA
"19","American Samoa","5",0,0,NA,NA,NA
"20","American Samoa","6",0,0,NA,NA,NA
"21","American Samoa","7",0,0,NA,NA,NA
"22","Arizona","1",0,1,"17,551","4,050","12,746,879"
"23","Arizona","2",0,1,"13,374","3,821","12,125,650"
"24","Arizona","3",114,1289,"193,236","3,914","15,789,860"
"25","Arizona","4",4912,7655,"323,390","162,957","157,639,850"
"26","Arizona","5",19861,19936,"120,426","59,957","213,556,501"
"27","Arizona","6",37494,79228,NA,NA,NA
"28","Arizona","7",52478,152944,NA,NA,NA
"29","Arkansas","1",0,0,"8,998","4,332","9,276,482"
"30","Arkansas","2",0,0,"5,799","2,845","8,702,043"
"31","Arkansas","3",35,523,"52,031","16,847","14,436,507"
"32","Arkansas","4",997,3281,"139,108","78,216","74,120,948"
"33","Arkansas","5",3136,7253,"46,153","31,498","95,966,155"
"34","Arkansas","6",5895,20777,NA,NA,NA
"35","Arkansas","7",7470,36259,NA,NA,NA
"36","California","1",0,3,"222,158","102,237","465,399,622"
"37","California","2",0,12,"161,349","80,823","440,124,177"
"38","California","3",1042,8233,"1,654,010","215,234","607,273,388"
"39","California","4",29784,50130,"2,354,590","2,040,331","2,816,379,041"
"40","California","5",98230,111951,"1,001,409","872,374","3,940,619,018"
"41","California","6",155313,231418,NA,NA,NA
"42","California","7",163209,430773,NA,NA,NA
"43","Colorado","1",0,0,"10,920","7,678","35,875,664"
"44","Colorado","2",0,0,"8,090","6,406","36,697,950"
"45","Colorado","3",337,2966,"108,375","16,497","50,499,094"
"46","Colorado","4",11712,15284,"255,141","212,161","313,950,730"
"47","Colorado","5",35607,26364,"75,087","88,883","376,803,227"
"48","Colorado","6",48017,32698,NA,NA,NA
"49","Colorado","7",39759,42295,NA,NA,NA
"50","Connecticut","1",0,0,"19,233","17,211","69,302,079"
"51","Connecticut","2",0,0,"10,832","8,437","64,687,529"
"52","Connecticut","3",281,3128,"82,041","29,040","88,963,548"
"53","Connecticut","4",29746,27700,"217,671","80,453","273,858,281"
"54","Connecticut","5",101016,42201,"92,695","67,307","320,468,266"
"55","Connecticut","6",125404,46514,NA,NA,NA
"56","Connecticut","7",100394,48232,NA,NA,NA
"57","Delaware","1",0,0,"3,587","1,927","6,716,921"
"58","Delaware","2",0,0,"2,384","1,927","6,507,130"
"59","Delaware","3",30,319,"39,249","1,603","7,535,040"
"60","Delaware","4",1843,4734,"43,886","2,259","9,296,344"
"61","Delaware","5",8376,9498,"20,297","1,519","10,193,944"
"62","Delaware","6",13062,11474,NA,NA,NA
"63","Delaware","7",11912,13924,NA,NA,NA
"64","Diamond Princess","1",0,0,NA,NA,NA
"65","Diamond Princess","2",0,0,NA,NA,NA
"66","Diamond Princess","3",0,49,NA,NA,NA
"67","Diamond Princess","4",0,49,NA,NA,NA
"68","Diamond Princess","5",0,49,NA,NA,NA
"69","Diamond Princess","6",0,49,NA,NA,NA
"70","Diamond Princess","7",0,49,NA,NA,NA
"71","District of Columbia","1",0,0,"2,631","1,557","9,054,380"
"72","District of Columbia","2",0,0,"1,862","1,369","8,577,751"
"73","District of Columbia","3",42,495,"39,175","3,120","11,270,916"
"74","District of Columbia","4",2647,4323,"42,011","40,353","70,098,632"
"75","District of Columbia","5",11296,8801,"21,618","13,528","81,790,559"
"76","District of Columbia","6",15437,10327,NA,NA,NA
